,is F,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,Intro,Photo,Assistant Organizer,Mailing List
82,,"July 9, 2017","July 14, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
83,,"July 16, 2017","May 25, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,Yes,No,Yes
84,,"January 10, 2018","January 10, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
85,,"July 27, 2017","July 27, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
86,,"January 8, 2018","May 25, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
87,,"January 22, 2018","January 22, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
88,,"May 4, 2018","May 4, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
89,,"May 31, 2018","May 31, 2018",,1.0,1.0,0.0,0.0,0.0,No,No,No,Yes
90,,"July 9, 2017","July 9, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
91,,"January 11, 2018","January 13, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
92,,"January 22, 2018","February 23, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
93,,"July 30, 2017","January 6, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
94,,"July 9, 2017","July 9, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
95,,"January 10, 2018","January 10, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
96,,"July 11, 2017","June 14, 2018","March 2, 2018",3.0,3.0,0.0,0.0,3.0,No,Yes,No,Yes
97,,"August 1, 2017","August 1, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
98,,"March 5, 2018","March 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
99,,"October 2, 2017","May 26, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
100,,"July 9, 2017","March 4, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,Yes,No,Yes
101,1.0,"February 7, 2018","May 26, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
102,,"February 20, 2018","February 20, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
103,,"March 26, 2018","May 9, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
104,1.0,"January 5, 2018","June 5, 2018","January 12, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
105,,"February 26, 2018","February 26, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
106,,"January 21, 2018","January 21, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
107,,"February 13, 2018","February 13, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
